fecha,numero,signo
31/03/2025,8746,Geminis
30/03/2025,9896,Escorpion
29/03/2025,3126,Virgo
28/03/2025,1734,Virgo
27/03/2025,6960,Libra
26/03/2025,578,Escorpion
25/03/2025,3565,Piscis
24/03/2025,2424,Tauro
23/03/2025,989,Virgo
22/03/2025,2915,Sagitario
21/03/2025,9975,Tauro
20/03/2025,2302,Geminis
19/03/2025,2542,Capricornio
18/03/2025,6131,Piscis
17/03/2025,3286,Tauro
16/03/2025,1583,Leo
15/03/2025,147,Libra
14/03/2025,3512,Piscis
13/03/2025,8473,Geminis
12/03/2025,7089,Piscis
11/03/2025,6667,Escorpion
10/03/2025,2342,Geminis
09/03/2025,3415,Libra
08/03/2025,696,Cancer
07/03/2025,466,Sagitario
06/03/2025,4885,Geminis
05/03/2025,5560,Leo
04/03/2025,3178,Sagitario
03/03/2025,7603,Sagitario
02/03/2025,7751,Libra
01/03/2025,3245,Piscis
28/02/2025,1774,Libra
27/02/2025,3788,Sagitario
26/02/2025,1802,Piscis
25/02/2025,40,Virgo
24/02/2025,6741,Escorpion
23/02/2025,7874,Sagitario
22/02/2025,1318,Virgo
21/02/2025,8798,Leo
20/02/2025,4849,Tauro
19/02/2025,7330,Virgo
18/02/2025,6868,Leo
17/02/2025,3165,Capricornio
16/02/2025,8250,Capricornio
15/02/2025,2640,Piscis
14/02/2025,3724,Sagitario
13/02/2025,4529,Virgo
12/02/2025,8999,Libra
11/02/2025,6227,Aries
10/02/2025,9022,Virgo
09/02/2025,7463,Capricornio
08/02/2025,3390,Sagitario
07/02/2025,5240,Aries
06/02/2025,6560,Piscis
05/02/2025,6420,Libra
04/02/2025,2981,Leo
03/02/2025,7452,Geminis
02/02/2025,4201,Libra
01/02/2025,2221,Leo
31/01/2025,8474,Tauro
30/01/2025,1723,Virgo
29/01/2025,7376,Geminis
28/01/2025,9219,Acuario
27/01/2025,1686,Geminis
26/01/2025,7139,Sagitario
25/01/2025,2183,Virgo
24/01/2025,6036,Escorpion
23/01/2025,7628,Libra
22/01/2025,7001,Leo
21/01/2025,9638,Piscis
20/01/2025,7886,Leo
19/01/2025,5031,Virgo
18/01/2025,832,Capricornio
17/01/2025,2918,Cancer
16/01/2025,2456,Tauro
15/01/2025,860,Piscis
14/01/2025,9541,Libra
13/01/2025,5449,Sagitario
12/01/2025,6506,Sagitario
11/01/2025,5668,Escorpion
10/01/2025,5787,Escorpion
09/01/2025,5164,Acuario
08/01/2025,6468,Cancer
07/01/2025,5352,Libra
06/01/2025,3437,Capricornio
05/01/2025,6694,Geminis
04/01/2025,1789,Cancer
03/01/2025,5778,Leo
02/01/2025,2221,Leo
01/01/2025,2052,Cancer
31/12/2024,7373,Cancer
30/12/2024,2716,Acuario
29/12/2024,5619,Virgo
28/12/2024,1800,Tauro
27/12/2024,3759,Virgo
26/12/2024,1284,Sagitario
25/12/2024,2557,Leo
24/12/2024,8451,Aries
23/12/2024,1350,Aries
22/12/2024,5206,Geminis
21/12/2024,6543,Virgo
20/12/2024,8417,Sagitario
19/12/2024,8343,Tauro
18/12/2024,713,Escorpion
17/12/2024,5902,Sagitario
16/12/2024,7979,Tauro
15/12/2024,2489,Capricornio
14/12/2024,1818,Piscis
13/12/2024,607,Leo
12/12/2024,3399,Leo
11/12/2024,6478,Geminis
10/12/2024,8766,Acuario
09/12/2024,3502,Virgo
08/12/2024,9810,Sagitario
07/12/2024,5952,Leo
06/12/2024,7849,Libra
05/12/2024,3469,Libra
04/12/2024,3581,Geminis
03/12/2024,557,Sagitario
02/12/2024,2018,Libra
01/12/2024,8570,Cancer
30/11/2024,8626,Geminis
29/11/2024,5012,Acuario
28/11/2024,1537,Tauro
27/11/2024,3957,Libra
26/11/2024,662,Sagitario
25/11/2024,9736,Escorpion
24/11/2024,5263,Sagitario
23/11/2024,1480,Libra
22/11/2024,9671,Aries
21/11/2024,2301,Acuario
20/11/2024,4493,Escorpion
19/11/2024,2707,Libra
18/11/2024,7343,Tauro
17/11/2024,8794,Piscis
16/11/2024,4535,Libra
15/11/2024,2841,Geminis
14/11/2024,4982,Aries
13/11/2024,3276,Escorpion
12/11/2024,3509,Escorpion
11/11/2024,5520,Libra
10/11/2024,4222,Tauro
09/11/2024,5837,Aries
08/11/2024,7952,Tauro
07/11/2024,1097,Geminis
06/11/2024,9032,Tauro
05/11/2024,8693,Leo
04/11/2024,4562,Geminis
03/11/2024,3677,Aries
02/11/2024,8415,Sagitario
01/11/2024,6137,Cancer
31/10/2024,8730,Aries
30/10/2024,6043,Tauro
29/10/2024,1968,Libra
28/10/2024,4432,Tauro
27/10/2024,5851,Piscis
26/10/2024,7833,Virgo
25/10/2024,4858,Cancer
24/10/2024,7911,Piscis
23/10/2024,7770,Cancer
22/10/2024,9586,Aries
21/10/2024,3307,Aries
20/10/2024,1759,Aries
19/10/2024,4436,Virgo
18/10/2024,4741,Leo
17/10/2024,3587,Virgo
16/10/2024,9397,Piscis
15/10/2024,1227,Virgo
14/10/2024,3535,Capricornio
13/10/2024,2883,Tauro
12/10/2024,8229,Libra
11/10/2024,5751,Piscis
10/10/2024,9606,Tauro
09/10/2024,5502,Cancer
08/10/2024,4510,Capricornio
07/10/2024,3892,Virgo
06/10/2024,5775,Sagitario
05/10/2024,1638,Sagitario
04/10/2024,4628,Escorpion
03/10/2024,9130,Virgo
02/10/2024,9630,Virgo
01/10/2024,8739,Capricornio
30/09/2024,8681,Leo
29/09/2024,1356,Sagitario
28/09/2024,4524,Acuario
27/09/2024,9362,Aries
26/09/2024,3695,Sagitario
25/09/2024,9599,Leo
24/09/2024,7239,Tauro
23/09/2024,7711,Capricornio
22/09/2024,2500,Capricornio
21/09/2024,6261,Capricornio
20/09/2024,5830,Capricornio
19/09/2024,4933,Tauro
18/09/2024,8968,Virgo
17/09/2024,666,Sagitario
16/09/2024,2755,Cancer
15/09/2024,6199,Geminis
14/09/2024,4388,Capricornio
13/09/2024,296,Geminis
12/09/2024,3458,Cancer
11/09/2024,7599,Tauro
10/09/2024,8047,Piscis
09/09/2024,5801,Tauro
08/09/2024,9898,Capricornio
07/09/2024,7718,Cancer
06/09/2024,331,Leo
05/09/2024,3523,Leo
04/09/2024,2001,Cancer
03/09/2024,7294,Leo
02/09/2024,7536,Geminis
01/09/2024,2956,Cancer
31/08/2024,3313,Virgo
30/08/2024,4373,Escorpion
29/08/2024,6374,Libra
28/08/2024,1601,Leo
27/08/2024,5481,Tauro
26/08/2024,5899,Piscis
25/08/2024,92,Cancer
24/08/2024,1267,Piscis
23/08/2024,9831,Piscis
22/08/2024,2353,Escorpion
21/08/2024,6833,Libra
20/08/2024,8690,Sagitario
19/08/2024,64,Geminis
18/08/2024,5785,Virgo
17/08/2024,2795,Sagitario
16/08/2024,8078,Virgo
15/08/2024,1547,Aries
14/08/2024,1960,Cancer
13/08/2024,4563,Leo
12/08/2024,505,Virgo
11/08/2024,6776,Cancer
10/08/2024,9947,Escorpion
09/08/2024,552,Cancer
08/08/2024,1048,Tauro
07/08/2024,2782,Piscis
06/08/2024,3089,Piscis
05/08/2024,9830,Aries
04/08/2024,5678,Sagitario
03/08/2024,966,Sagitario
02/08/2024,7058,Acuario
01/08/2024,9390,Aries
31/07/2024,7206,Piscis
30/07/2024,9577,Leo
29/07/2024,3443,Geminis
28/07/2024,53,Piscis
27/07/2024,4859,Virgo
26/07/2024,6759,Leo
25/07/2024,2226,Aries
24/07/2024,6573,Tauro
23/07/2024,3890,Cancer
22/07/2024,4577,Geminis
21/07/2024,6392,Aries
20/07/2024,2764,Aries
19/07/2024,3834,Cancer
18/07/2024,948,Libra
17/07/2024,6126,Libra
16/07/2024,3740,Acuario
15/07/2024,2537,Acuario
14/07/2024,3695,Escorpion
13/07/2024,2899,Escorpion
12/07/2024,3119,Geminis
11/07/2024,8975,Cancer
10/07/2024,7293,Sagitario
09/07/2024,8125,Aries
08/07/2024,6552,Tauro
07/07/2024,2570,Capricornio
06/07/2024,8429,Geminis
05/07/2024,5161,Aries
04/07/2024,6963,Aries
03/07/2024,651,Sagitario
02/07/2024,2524,Tauro
01/07/2024,2104,Leo
30/06/2024,18,Virgo
29/06/2024,8413,Capricornio
28/06/2024,7952,Tauro
27/06/2024,8538,Tauro
26/06/2024,1025,Escorpion
25/06/2024,1070,Sagitario
24/06/2024,818,Escorpion
23/06/2024,2514,Geminis
22/06/2024,4531,Escorpion
21/06/2024,4588,Escorpion
20/06/2024,4683,Escorpion
19/06/2024,6745,Virgo
18/06/2024,577,Libra
17/06/2024,7040,Geminis
16/06/2024,620,Acuario
15/06/2024,9950,Virgo
14/06/2024,3304,Virgo
13/06/2024,6426,Tauro
12/06/2024,60,Acuario
11/06/2024,7140,Geminis
10/06/2024,7835,Geminis
09/06/2024,6080,Virgo
08/06/2024,9450,Acuario
07/06/2024,8196,Libra
06/06/2024,7098,Sagitario
05/06/2024,3888,Cancer
04/06/2024,3662,Libra
03/06/2024,9180,Cancer
02/06/2024,5378,Geminis
01/06/2024,8642,Tauro
31/05/2024,3771,Cancer
30/05/2024,410,Libra
29/05/2024,9760,Capricornio
28/05/2024,7054,Cancer
27/05/2024,5881,Acuario
26/05/2024,1367,Leo
25/05/2024,584,Virgo
24/05/2024,6358,Geminis
23/05/2024,2776,Piscis
22/05/2024,348,Aries
21/05/2024,9463,Virgo
20/05/2024,6521,Capricornio
19/05/2024,504,Geminis
18/05/2024,1222,Cancer
17/05/2024,9396,Aries
16/05/2024,5365,Tauro
15/05/2024,786,Geminis
14/05/2024,2396,Geminis
13/05/2024,2369,Acuario
12/05/2024,7036,Acuario
11/05/2024,6279,Virgo
10/05/2024,4134,Tauro
09/05/2024,7619,Virgo
08/05/2024,6369,Tauro
07/05/2024,1068,Leo
06/05/2024,2161,Escorpion
05/05/2024,5903,Aries
04/05/2024,2640,Capricornio
03/05/2024,4365,Libra
02/05/2024,4372,Capricornio
01/05/2024,2269,Libra
30/04/2024,9593,Geminis
29/04/2024,1076,Sagitario
28/04/2024,2851,Virgo
27/04/2024,4907,Escorpion
26/04/2024,9811,Cancer
25/04/2024,1245,Capricornio
24/04/2024,8339,Leo
23/04/2024,8776,Geminis
22/04/2024,5350,Capricornio
21/04/2024,5540,Acuario
20/04/2024,7041,Libra
19/04/2024,6089,Acuario
18/04/2024,8136,Piscis
17/04/2024,8171,Sagitario
16/04/2024,9344,Capricornio
15/04/2024,7714,Capricornio
14/04/2024,7708,Sagitario
13/04/2024,4971,Tauro
12/04/2024,7777,Sagitario
11/04/2024,9572,Libra
10/04/2024,3725,Escorpion
09/04/2024,8152,Piscis
08/04/2024,1793,Tauro
07/04/2024,9555,Escorpion
06/04/2024,1601,Libra
05/04/2024,4359,Virgo
04/04/2024,2070,Acuario
03/04/2024,3534,Geminis
02/04/2024,8030,Tauro
01/04/2024,7377,Acuario
31/03/2024,1825,Aries
30/03/2024,170,Geminis
29/03/2024,712,Piscis
28/03/2024,8274,Virgo
27/03/2024,1812,Tauro
26/03/2024,9754,Cancer
25/03/2024,8364,Sagitario
24/03/2024,9666,Virgo
23/03/2024,9493,Escorpion
22/03/2024,2784,Tauro
21/03/2024,4157,Capricornio
20/03/2024,2733,Piscis
19/03/2024,1700,Sagitario
18/03/2024,6975,Virgo
17/03/2024,9131,Sagitario
16/03/2024,3859,Libra
15/03/2024,4382,Tauro
14/03/2024,1144,Cancer
13/03/2024,6814,Cancer
12/03/2024,467,Geminis
11/03/2024,4969,Acuario
10/03/2024,5345,Escorpion
09/03/2024,4604,Cancer
08/03/2024,3054,Sagitario
07/03/2024,7755,Tauro
06/03/2024,3607,Escorpion
05/03/2024,5908,Geminis
04/03/2024,4239,Libra
03/03/2024,9604,Geminis
02/03/2024,8214,Tauro
01/03/2024,6236,Leo
29/02/2024,1139,Capricornio
28/02/2024,7181,Sagitario
27/02/2024,1633,Leo
26/02/2024,9098,Cancer
25/02/2024,7672,Sagitario
24/02/2024,8767,Tauro
23/02/2024,2510,Sagitario
22/02/2024,2358,Libra
21/02/2024,940,Libra
20/02/2024,4220,Capricornio
19/02/2024,3863,Aries
18/02/2024,5435,Virgo
17/02/2024,7206,Leo
16/02/2024,4061,Capricornio
15/02/2024,3062,Piscis
14/02/2024,9421,Libra
13/02/2024,5083,Escorpion
12/02/2024,4165,Libra
11/02/2024,8785,Aries
10/02/2024,3268,Escorpion
09/02/2024,7640,Cancer
08/02/2024,9884,Leo
07/02/2024,3977,Piscis
06/02/2024,97,Piscis
05/02/2024,5271,Cancer
04/02/2024,1577,Libra
03/02/2024,8874,Aries
02/02/2024,4126,Escorpion
01/02/2024,1071,Tauro
31/01/2024,5909,Acuario
30/01/2024,366,Libra
29/01/2024,9289,Leo
28/01/2024,9748,Leo
27/01/2024,550,Aries
26/01/2024,4930,Escorpion
25/01/2024,5322,Leo
24/01/2024,8519,Geminis
23/01/2024,9585,Sagitario
22/01/2024,4909,Sagitario
21/01/2024,6846,Tauro
20/01/2024,8105,Capricornio
19/01/2024,1197,Escorpion
18/01/2024,2460,Geminis
17/01/2024,8320,Piscis
16/01/2024,9048,Virgo
15/01/2024,7664,Escorpion
14/01/2024,1699,Leo
13/01/2024,4325,Cancer
12/01/2024,1884,Sagitario
11/01/2024,9782,Capricornio
10/01/2024,8226,Tauro
09/01/2024,2575,Acuario
08/01/2024,8839,Tauro
07/01/2024,9920,Leo
06/01/2024,5192,Tauro
05/01/2024,1432,Sagitario
04/01/2024,582,Piscis
03/01/2024,7186,Cancer
02/01/2024,7415,Capricornio
01/01/2024,5830,Leo
31/12/2023,4967,Capricornio
30/12/2023,2977,Geminis
29/12/2023,7348,Piscis
28/12/2023,9138,Libra
27/12/2023,428,Acuario
26/12/2023,8749,Sagitario
25/12/2023,3982,Capricornio
24/12/2023,3722,Leo
23/12/2023,8249,Virgo
22/12/2023,270,Escorpion
21/12/2023,4883,Piscis
20/12/2023,8608,Aries
19/12/2023,2979,Aries
18/12/2023,2928,Virgo
17/12/2023,2116,Virgo
16/12/2023,2939,Sagitario
15/12/2023,9923,Acuario
14/12/2023,8051,Acuario
13/12/2023,8040,Escorpion
12/12/2023,7023,Piscis
11/12/2023,4806,Acuario
10/12/2023,4902,Sagitario
09/12/2023,6435,Capricornio
08/12/2023,1450,Leo
07/12/2023,8711,Escorpion
06/12/2023,7935,Leo
05/12/2023,7721,Geminis
04/12/2023,7654,Geminis
03/12/2023,4884,Tauro
02/12/2023,9766,Piscis
01/12/2023,1890,Sagitario
30/11/2023,5853,Capricornio
29/11/2023,4969,Tauro
28/11/2023,8571,Virgo
27/11/2023,3930,Sagitario
26/11/2023,5923,Sagitario
25/11/2023,7473,Leo
24/11/2023,5310,Aries
23/11/2023,9199,Sagitario
22/11/2023,7879,Geminis
21/11/2023,3803,Acuario
20/11/2023,6830,Libra
19/11/2023,1333,Cancer
18/11/2023,3120,Piscis
17/11/2023,9684,Aries
16/11/2023,6885,Virgo
15/11/2023,9738,Virgo
14/11/2023,2741,Acuario
13/11/2023,6098,Aries
12/11/2023,1943,Aries
11/11/2023,5652,Leo
10/11/2023,8796,Acuario
09/11/2023,5742,Piscis
08/11/2023,5267,Virgo
07/11/2023,5802,Virgo
06/11/2023,5899,Leo
05/11/2023,9658,Capricornio
04/11/2023,5799,Leo
03/11/2023,951,Libra
02/11/2023,7285,Libra
01/11/2023,8035,Geminis
31/10/2023,829,Aries
30/10/2023,4542,Geminis
29/10/2023,3572,Cancer
28/10/2023,1993,Geminis
27/10/2023,2324,Piscis
26/10/2023,3654,Aries
25/10/2023,4751,Geminis
24/10/2023,3563,Acuario
23/10/2023,702,Escorpion
22/10/2023,6477,Virgo
21/10/2023,4726,Libra
20/10/2023,7195,Acuario
19/10/2023,8005,Aries
18/10/2023,1753,Sagitario
17/10/2023,6310,Geminis
16/10/2023,8174,Leo
15/10/2023,5722,Libra
14/10/2023,8822,Virgo
13/10/2023,5421,Tauro
12/10/2023,6990,Acuario
11/10/2023,5793,Acuario
10/10/2023,7663,Virgo
09/10/2023,8858,Aries
08/10/2023,74,Capricornio
07/10/2023,3615,Virgo
06/10/2023,3613,Cancer
05/10/2023,4949,Aries
04/10/2023,1079,Libra
03/10/2023,9860,Libra
02/10/2023,4316,Libra
01/10/2023,8793,Cancer
30/09/2023,668,Libra
29/09/2023,6109,Escorpion
28/09/2023,695,Leo
27/09/2023,5363,Capricornio
26/09/2023,3995,Virgo
25/09/2023,7738,Aries
24/09/2023,7875,Geminis
23/09/2023,8607,Capricornio
22/09/2023,3785,Leo
21/09/2023,5793,Escorpion
20/09/2023,606,Acuario
19/09/2023,6414,Capricornio
18/09/2023,4504,Cancer
17/09/2023,9390,Aries
16/09/2023,3608,Sagitario
15/09/2023,1312,Tauro
14/09/2023,3960,Tauro
13/09/2023,374,Geminis
12/09/2023,754,Capricornio
11/09/2023,9762,Capricornio
10/09/2023,5089,Piscis
09/09/2023,9334,Acuario
08/09/2023,6373,Leo
07/09/2023,9900,Aries
06/09/2023,7682,Escorpion
05/09/2023,2896,Leo
04/09/2023,5850,Geminis
03/09/2023,2047,Piscis
02/09/2023,929,Geminis
01/09/2023,7052,Sagitario
31/08/2023,1906,Libra
30/08/2023,8453,Sagitario
29/08/2023,6318,Escorpion
28/08/2023,6411,Libra
27/08/2023,8679,Geminis
26/08/2023,9475,Leo
25/08/2023,8417,Tauro
24/08/2023,6857,Acuario
23/08/2023,4343,Leo
22/08/2023,134,Acuario
21/08/2023,7756,Tauro
20/08/2023,8163,Aries
19/08/2023,5734,Piscis
18/08/2023,6656,Virgo
17/08/2023,7536,Acuario
16/08/2023,9443,Acuario
15/08/2023,7135,Escorpion
14/08/2023,3242,Tauro
13/08/2023,8120,Geminis
12/08/2023,6739,Leo
11/08/2023,7146,Piscis
10/08/2023,7822,Virgo
09/08/2023,2765,Leo
08/08/2023,9551,Capricornio
07/08/2023,4397,Libra
06/08/2023,9917,Piscis
05/08/2023,376,Piscis
04/08/2023,775,Cancer
03/08/2023,5699,Virgo
02/08/2023,7939,Piscis
01/08/2023,2520,Tauro
31/07/2023,8931,Geminis
30/07/2023,2621,Aries
29/07/2023,9317,Libra
28/07/2023,1582,Cancer
27/07/2023,1476,Acuario
26/07/2023,2165,Cancer
25/07/2023,1213,Escorpion
24/07/2023,5519,Capricornio
23/07/2023,3656,Virgo
22/07/2023,7778,Virgo
21/07/2023,2001,Sagitario
20/07/2023,4070,Acuario
19/07/2023,2810,Leo
18/07/2023,5855,Leo
17/07/2023,5150,Acuario
16/07/2023,1887,Escorpion
15/07/2023,4296,Geminis
14/07/2023,9588,Cancer
13/07/2023,5573,Aries
12/07/2023,9880,Piscis
11/07/2023,8923,Libra
10/07/2023,5067,Capricornio
09/07/2023,6875,Escorpion
08/07/2023,2425,Escorpion
07/07/2023,2192,Acuario
06/07/2023,2489,Leo
05/07/2023,2042,Aries
04/07/2023,3162,Sagitario
03/07/2023,1031,Leo
02/07/2023,2367,Tauro
01/07/2023,4905,Escorpion
30/06/2023,8848,Capricornio
29/06/2023,2738,Sagitario
28/06/2023,2829,Piscis
27/06/2023,4361,Cancer
26/06/2023,1678,Sagitario
25/06/2023,3904,Escorpion
24/06/2023,5218,Sagitario
23/06/2023,7026,Piscis
22/06/2023,3673,Acuario
21/06/2023,1519,Piscis
20/06/2023,2778,Cancer
19/06/2023,9772,Aries
18/06/2023,2278,Escorpion
17/06/2023,3079,Aries
16/06/2023,6311,Capricornio
15/06/2023,1635,Tauro
14/06/2023,2145,Escorpion
13/06/2023,9574,Capricornio
12/06/2023,693,Piscis
11/06/2023,8324,Piscis
10/06/2023,9878,Leo
09/06/2023,5393,Piscis
08/06/2023,4254,Escorpion
07/06/2023,4110,Tauro
06/06/2023,1589,Piscis
05/06/2023,227,Capricornio
04/06/2023,6171,Acuario
03/06/2023,5462,Acuario
02/06/2023,2275,Leo
01/06/2023,9782,Capricornio
31/05/2023,421,Sagitario
30/05/2023,1811,Tauro
29/05/2023,2674,Cancer
28/05/2023,9479,Sagitario
27/05/2023,4608,Acuario
26/05/2023,3547,Virgo
25/05/2023,9778,Sagitario
24/05/2023,2491,Libra
23/05/2023,9093,Tauro
22/05/2023,6514,Geminis
21/05/2023,2284,Escorpion
20/05/2023,8349,Escorpion
19/05/2023,3123,Libra
18/05/2023,1318,Libra
17/05/2023,1894,Capricornio
16/05/2023,6411,Tauro
15/05/2023,7927,Sagitario
14/05/2023,1508,Virgo
13/05/2023,2217,Geminis
12/05/2023,6559,Piscis
11/05/2023,9247,Cancer
10/05/2023,2930,Escorpion
09/05/2023,9109,Cancer
08/05/2023,7724,Libra
07/05/2023,9947,Sagitario
06/05/2023,3893,Sagitario
05/05/2023,9464,Geminis
04/05/2023,133,Tauro
03/05/2023,9195,Acuario
02/05/2023,7358,Escorpion
01/05/2023,6698,Acuario
30/04/2023,450,Capricornio
29/04/2023,696,Tauro
28/04/2023,5659,Virgo
27/04/2023,8387,Geminis
26/04/2023,1861,Aries
25/04/2023,8020,Leo
24/04/2023,6954,Aries
23/04/2023,4135,Tauro
22/04/2023,9298,Aries
21/04/2023,9761,Capricornio
20/04/2023,8025,Geminis
19/04/2023,423,Escorpion
18/04/2023,454,Capricornio
17/04/2023,1127,Cancer
16/04/2023,411,Tauro
15/04/2023,3143,Tauro
14/04/2023,2020,Libra
13/04/2023,9208,Geminis
12/04/2023,2113,Virgo
11/04/2023,3793,Capricornio
10/04/2023,7428,Libra
09/04/2023,610,Virgo
08/04/2023,631,Virgo
07/04/2023,6554,Piscis
06/04/2023,4033,Acuario
05/04/2023,3202,Cancer
04/04/2023,1785,Libra
03/04/2023,5891,Sagitario
02/04/2023,8448,Virgo
01/04/2023,5893,Geminis
31/03/2023,8189,Acuario
30/03/2023,5466,Geminis
29/03/2023,7339,Virgo
28/03/2023,6643,Sagitario
27/03/2023,640,Sagitario
26/03/2023,4332,Capricornio
25/03/2023,1031,Leo
24/03/2023,8510,Geminis
23/03/2023,3088,Piscis
22/03/2023,2753,Aries
21/03/2023,964,Aries
20/03/2023,9182,Piscis
19/03/2023,4784,Escorpion
18/03/2023,6698,Aries
17/03/2023,9488,Geminis
16/03/2023,7350,Geminis
15/03/2023,6920,Virgo
14/03/2023,8821,Geminis
13/03/2023,7242,Sagitario
12/03/2023,5430,Capricornio
11/03/2023,5358,Escorpion
10/03/2023,6365,Geminis
09/03/2023,8847,Sagitario
08/03/2023,6638,Virgo
07/03/2023,9523,Virgo
06/03/2023,1830,Tauro
05/03/2023,6052,Geminis
04/03/2023,1307,Leo
03/03/2023,6544,Geminis
02/03/2023,4123,Piscis
01/03/2023,7419,Tauro
28/02/2023,6508,Libra
27/02/2023,533,Geminis
26/02/2023,5516,Leo
25/02/2023,6301,Cancer
24/02/2023,7546,Virgo
23/02/2023,4582,Libra
22/02/2023,5664,Libra
21/02/2023,3064,Piscis
20/02/2023,3639,Piscis
19/02/2023,6655,Libra
18/02/2023,8045,Capricornio
17/02/2023,9965,Virgo
16/02/2023,4194,Capricornio
15/02/2023,9085,Escorpion
14/02/2023,5152,Virgo
13/02/2023,1930,Virgo
12/02/2023,7673,Libra
11/02/2023,2884,Cancer
10/02/2023,7134,Escorpion
09/02/2023,1093,Tauro
08/02/2023,7111,Sagitario
07/02/2023,7939,Virgo
06/02/2023,7111,Sagitario
05/02/2023,3999,Cancer
04/02/2023,8658,Acuario
03/02/2023,3173,Geminis
02/02/2023,8101,Aries
01/02/2023,3863,Acuario
31/01/2023,6413,Piscis
30/01/2023,7751,Acuario
29/01/2023,7630,Capricornio
28/01/2023,9679,Libra
27/01/2023,3024,Cancer
26/01/2023,5558,Leo
25/01/2023,1692,Libra
24/01/2023,8978,Acuario
23/01/2023,2202,Piscis
22/01/2023,528,Piscis
21/01/2023,6823,Sagitario
20/01/2023,8229,Virgo
19/01/2023,46,Piscis
18/01/2023,1882,Acuario
17/01/2023,2798,Leo
16/01/2023,5114,Cancer
15/01/2023,7726,Aries
14/01/2023,9663,Acuario
13/01/2023,6057,Escorpion
12/01/2023,2996,Leo
11/01/2023,6621,Escorpion
10/01/2023,7946,Capricornio
09/01/2023,4515,Piscis
